pesticide,microorganism,evidence_type,evidence_type_original,evidence_type_mapping_note,enzyme_class,reported_protein_name,pesticidedb_protein_id,gene_name,ncbi_accession,ncbi_protein_accession,year,doi,collection_category,uniprot_accession,pubmed_id,source_title,curation_notes,already_in_current_master_exact_accession
"2,4-D / chlorophenoxy herbicides",Rhodopila globiformis (Rhodopseudomonas globiformis),Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,CCS01_16535,,WP_104519926.1,2018,10.1007/s00203-018-1489-z,SUPPLEMENTED,A0A2S6NB55,29423563,New insights into the metabolic potential of the phototrophic purple bacterium Rhodopila globiformis DSM 161(T) from its draft genome sequence and evidence for a vanadium-dependent nitrogenase.,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Rhodopila globiformis (Rhodopseudomonas globiformis),Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,CCS01_27900,,,2018,10.1007/s00203-018-1489-z,SUPPLEMENTED,A0A2S6MYG4,29423563,New insights into the metabolic potential of the phototrophic purple bacterium Rhodopila globiformis DSM 161(T) from its draft genome sequence and evidence for a vanadium-dependent nitrogenase.,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Fusarium flagelliforme,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Oxidoreductase,"Alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase",,FIE12Z_1266,,,2018,10.1371/journal.ppat.1006946,SUPPLEMENTED,A0A395N2X0,29649280,"Evolution of structural diversity of trichothecenes, a family of toxins produced by plant pathogenic and entomopathogenic fungi.","Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Striga asiatica (Asiatic witchweed) (Buchnera asiatica),Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Oxidoreductase,"Alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase,4-dichlorophenoxyacetate dioxygenase",,STAS_01043,,,2019,10.1016/j.cub.2019.07.086,SUPPLEMENTED,A0A5A7NYA0,31522940,Genome Sequence of Striga asiatica Provides Insight into the Evolution of Plant Parasitism.,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Sphingobium herbicidovorans (strain ATCC 700291 / DSM 11019 / CCUG 56400 / KCTC 2939 / LMG 18315 / NBRC 16415 / MH) (Sphingomonas herbicidovorans),Whole-cell / Crude,Publication-linked enzyme record; manual verification required,Publication title indicates organism-level degradation evidence.,Oxidoreductase,(S)-phenoxypropionate/alpha-ketoglutarate-dioxygenase (SdpA) (EC 1.14.11.43) ((S)-dichlorprop/(S)-mecoprop dioxygenase) (Alpha-ketoglutarate-dependent dioxygenase) (Dichlorprop/alpha-ketoglutarate-dioxygenase) (Mecoprop/alpha-ketoglutarate-dioxygenase),,sdpA,,WP_037468461.1,1999,10.1038/sj.jim.2900751,SUPPLEMENTED,Q700X4,11423952; 15466552; 16820480; 16731970,Sphingomonas herbicidovorans MH: a versatile phenoxyalkanoic acid herbicide degrader.,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Cupriavidus pinatubonensis (strain JMP 134 / LMG 1197) (Cupriavidus necator (strain JMP 134)),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"Alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase (2,4-D dioxygenase) (EC 1.14.11.-)",,tfdA,,WP_011178399.1,1987,10.1128/jb.169.7.2950-2955.1987,SUPPLEMENTED,P10088,3036764; 15186344; 20206455; 20339589; 10777523; 11457355; 11955067,"Analysis, cloning, and high-level expression of 2,4-dichlorophenoxyacetate monooxygenase gene tfdA of Alcaligenes eutrophus JMP134.","Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Halomonadaceae gen. sp. strain I-18,Whole-cell / Crude,Publication-linked enzyme record; manual verification required,Publication title indicates organism-level degradation evidence.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,tfdA,,,1996,10.1099/13500872-142-5-1115,SUPPLEMENTED,Q47965,8704953,"Degradation of 2,4-dichlorophenoxyacetic acid by haloalkaliphilic bacteria.","Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110),Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Oxidoreductase,"Alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase (EC 1.14.11.-)",,tfdA,,WP_011084309.1,2002,10.1093/dnares/9.6.189,SUPPLEMENTED,Q89UC4,12597275; 31209034,Complete genomic sequence of nitrogen-fixing symbiotic bacterium Bradyrhizobium japonicum USDA110.,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Burkholderia cepacia (Pseudomonas cepacia),Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Oxidoreductase,"Chlorocatechol 1,2-dioxygenase (EC 1.13.11.-)",,tfdC,,,1994,10.1128/aem.60.1.307-312.1994,SUPPLEMENTED,P0A397,7509586,"Identification and characterization of a new plasmid carrying genes for degradation of 2,4-dichlorophenoxyacetate from Pseudomonas cepacia CSV90.","Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
Atrazine,Pseudomonas sp. D3-1l,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Atrazine chlorohydrolase,,atzA,,,2016,10.1186/s12866-016-0868-3,SUPPLEMENTED,A0A0F7GGS7,27821056,"Occurrence, diversity and community structure of culturable atrazine degraders in industrial and agricultural soils exposed to the herbicide in Shandong Province, P.R. China.",Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
