pesticide,microorganism,evidence_type,enzyme_class,reported_protein_name,pesticidedb_protein_id,gene_name,ncbi_accession,ncbi_protein_accession,year,doi,collection_category,uniprot_accession,pubmed_id,source_title,already_in_current_master_exact_accession
Atrazine,beta proteobacterium CDB21,Gene Only + whole-cell/ Crude,Hydrolase,Atrazine chlorohydrolase,,atzA,,,2007,10.1002/ps.1334,SUPPLEMENTED,Q5W7L0,17304635,Isolation and characterization of a novel simazine-degrading beta-proteobacterium and detection of genes encoding s-triazine-degrading enzymes.,NO
Atrazine,Paenarthrobacter nicotinovorans (Arthrobacter nicotinovorans),Gene Only + whole-cell/ Crude,,Atrazine degradation enzyme,,atzA,,,2005,10.1016/j.femsec.2004.11.012,SUPPLEMENTED,Q6DQL0,16329913,"Characterization of Arthrobacter nicotinovorans HIM, an atrazine-degrading bacterium, from agricultural soil New Zealand.",NO
Atrazine,Arthrobacter sp. AD1,Gene Only + whole-cell/ Crude,Hydrolase,Atrazine chlorohydrolase,,atzA,,,2003,10.1046/j.1472-765x.2003.01307.x,SUPPLEMENTED,Q8GG87,12680937,Isolation and characterization of an atrazine-degrading bacterium from industrial wastewater in China.,NO
Atrazine,Pseudomonas aeruginosa,Gene Only + whole-cell/ Crude,Hydrolase,Allophanate hydrolase (Atrazine chlorohydrolase),,atzA,,,2014,10.1007/s11356-014-3316-7,SUPPLEMENTED,U3MLL2,25035056,Isolation and characterization of a Pseudomonas aeruginosa from a virgin Brazilian Amazon region with potential to degrade atrazine.,NO
Atrazine,Arthrobacter sp. SD41,Gene Only + whole-cell/ Crude,Hydrolase,Hydroxyatrazine hydrolase,,atzB,,,2016,10.1186/s12866-016-0868-3,SUPPLEMENTED,A0A0F7CUE7,27821056,"Occurrence, diversity and community structure of culturable atrazine degraders in industrial and agricultural soils exposed to the herbicide in Shandong Province, P.R. China.",NO
Atrazine,Nocardioides sp. CMU5,Gene Only + whole-cell/ Crude,,AtzB,,atzB,,,2007,10.1007/s00253-007-0871-6,SUPPLEMENTED,A0T2X2,17318536,Isolation and characterization of novel atrazine-degrading microorganisms from an agricultural soil.,NO
Atrazine,Cupriavidus taiwanensis (strain DSM 17343 / BCRC 17206 / CCUG 44338 / CIP 107171 / LMG 19424 / R1) (Ralstonia taiwanensis (strain LMG 19424)),Gene Only,Hydrolase,HYDROXY-ATRAZINE ETHYL AMINO HYDROLASE PROTEIN (EC 3.5.4.43),,atzB,,WP_012354054.1,2008,10.1101/gr.076448.108,SUPPLEMENTED,B3R761,18490699,Genome sequence of the beta-rhizobium Cupriavidus taiwanensis and comparative genomics of rhizobia.,NO
Atrazine,Comamonas sp. A2,Gene Only,Hydrolase,Hydroxyatrazine hydrolase,,atzB,,,2010,10.1007/s10532-009-9284-9,SUPPLEMENTED,C7EY79,19603273,Atrazine degradation by a simple consortium of Klebsiella sp. A1 and Comamonas sp. A2 in nitrogen enriched medium.,NO
Atrazine,Pseudomonas sp. (strain ADP),Gene Only,Hydrolase,Hydroxydechloroatrazine ethylaminohydrolase (Hydroxyatrazine hydrolase) (EC 3.5.4.43),,atzB,,WP_011117160.1,1997,10.1128/aem.63.3.916-923.1997,SUPPLEMENTED,P95442,9055410; 17660279,The atzB gene of Pseudomonas sp. strain ADP encodes the second enzyme of a novel atrazine degradation pathway.,NO
Atrazine,Paenarthrobacter nicotinovorans (Arthrobacter nicotinovorans),Gene Only + whole-cell/ Crude,,Atrazine degradation enzyme,,atzB,,,2005,10.1016/j.femsec.2004.11.012,SUPPLEMENTED,Q6DQK9,16329913,"Characterization of Arthrobacter nicotinovorans HIM, an atrazine-degrading bacterium, from agricultural soil New Zealand.",NO
Atrazine,Nocardioides sp. SP12,Gene Only,Hydrolase,Hydroxyatrazine hydrolase,,atzB,,,2003,10.1016/S0378-1097(03)00168-X,SUPPLEMENTED,Q83ZG2,12694918; 12639042,"Isolation and characterisation of Nocardioides sp. SP12, an atrazine-degrading bacterial strain possessing the gene trzN from bulk- and maize rhizosphere soil.",NO
Atrazine,Crystallibacter crystallopoietes,Gene Only,,AtzB,,atzB,,,2001,10.1111/j.1574-6941.2001.tb00842.x,SUPPLEMENTED,Q93NM7,11451526,Isolation and characterisation of new Gram-negative and Gram-positive atrazine degrading bacteria from different French soils.,NO
