pesticide,microorganism,evidence_type,enzyme_class,reported_protein_name,pesticidedb_protein_id,gene_name,ncbi_accession,ncbi_protein_accession,year,doi,collection_category,uniprot_accession,pubmed_id,source_title,already_in_current_master_exact_accession
Organophosphates,Achromobacter sp. mp-2,Gene Only,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693X3,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,NO
Organophosphates,Pseudaminobacter sp. mp-1,Gene Only,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693X5,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,NO
Parathion / organophosphates,Capillimicrobium parvum,Gene Only,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_259310742.1,2022,10.1099/ijsem.0.005599,SUPPLEMENTED,A0A9E7C0Q4,36331109,"Pseudomonas aegrilactucae sp. nov. and Pseudomonas morbosilactucae sp. nov., pathogens causing bacterial rot of lettuce in Japan.",NO
Parathion / organophosphates,Nonomuraea coxensis DSM 45129,Gene Only,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_026214863.1,2021,10.1021/acschembio.1c00170,SUPPLEMENTED,A0ABX8U9F3,33913701,Genomic-Led Discovery of a Novel Glycopeptide Antibiotic by Nonomuraea coxensis DSM 45129.,NO
Parathion / organophosphates,Brevundimonas diminuta (Pseudomonas diminuta),Gene Only,Hydrolase,Parathion hydrolase (EC 3.1.8.1) (Phosphotriesterase),,opd,,,2011,10.1016/j.plasmid.2011.02.003,SUPPLEMENTED,G8DNV8,21354204,Indigenous organophosphate-degrading (opd) plasmid pCMS1 of Brevundimonasdiminuta is self-transmissible and plays a key role in horizontal mobility of the opd gene.,NO
Parathion / organophosphates,Solibacillus isronensis B3W22,Gene Only,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_008406101.1,2012,10.1128/JB.01651-12,SUPPLEMENTED,K1KRQ2,23144382,"Draft genome sequence of Bacillus isronensis strain B3W22, isolated from the upper atmosphere.",NO
Parathion / organophosphates,Sphingobium fuliginis (strain ATCC 27551),Gene Only,Hydrolase,Parathion hydrolase (EC 3.1.8.1) (Phosphotriesterase) (PTE),,opd,,,1989,10.1128/jb.171.12.6740-6746.1989,SUPPLEMENTED,P0A433,2556372; 15369336,Parathion hydrolase specified by the Flavobacterium opd gene: relationship between the gene and protein.,NO
Parathion / organophosphates,Brevundimonas diminuta (Pseudomonas diminuta),Gene Only,Hydrolase,Parathion hydrolase (EC 3.1.8.1) (Phosphotriesterase) (PTE),,opd,,,1988,10.1128/jb.170.5.2306-2311.1988,SUPPLEMENTED,P0A434,2834339; 8155644; 7999757; 7794910; 8634243,Cloning and sequencing of a plasmid-borne gene (opd) encoding a phosphotriesterase.,NO
Parathion / organophosphates,Sphingobium fuliginis (strain ATCC 27551),Gene Only,Hydrolase,Parathion hydrolase (EC 3.1.8.1) (Phosphotriesterase),,opd,,,2003,10.1128/AEM.69.5.2533-2539.2003,SUPPLEMENTED,Q8GC45,12732518,Transposon-like organization of the plasmid-borne organophosphate degradation (opd) gene cluster found in Flavobacterium sp.,NO
Parathion / organophosphates,Chryseobacterium balustinum,Gene Only,Hydrolase,Parathion hydrolase (EC 3.1.8.1) (Phosphotriesterase),,opd,,,2003,10.1128/AEM.69.5.2533-2539.2003,SUPPLEMENTED,Q8VLR0,12732518,Transposon-like organization of the plasmid-borne organophosphate degradation (opd) gene cluster found in Flavobacterium sp.,NO
Pyrethroids,Clostridium coskatii,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,estP,,WP_063600294.1,2016,10.3389/fmicb.2016.01036,SUPPLEMENTED,A0A166U3S6,27458439,Industrial Acetogenic Biocatalysts: A Comparative Metabolic and Genomic Analysis.,NO
Pyrethroids,Methylobacterium dankookense,Gene Only,Hydrolase,Pyrethroid hydrolase,,pytH,,WP_144760423.1,2021,10.3389/fmicb.2021.740610,SUPPLEMENTED,A0A564FSI2,34737731,Comprehensive Comparative Genomics and Phenotyping of Methylobacterium Species.,NO
Pyrethroids,Methylobacterium trifolii,Gene Only,Hydrolase,Pyrethroid hydrolase,,pytH,,WP_238183277.1,2021,10.3389/fmicb.2021.740610,SUPPLEMENTED,A0ABQ4U0I8,34737731,Comprehensive Comparative Genomics and Phenotyping of Methylobacterium Species.,NO
"2,4-D / chlorophenoxy herbicides",Tardiphaga robiniae,Gene Only,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,A4A58_00905,,WP_068728962.1,,,SUPPLEMENTED,A0A164ANK5,,,NO
"2,4-D / chlorophenoxy herbicides",Bradyrhizobium macuxiense,Gene Only,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,AS156_32335,,WP_066502283.1,,,SUPPLEMENTED,A0A120FQV9,,,NO
"2,4-D / chlorophenoxy herbicides",Bradyrhizobium neotropicale,Gene Only,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,AXW67_39240,,WP_063677254.1,,,SUPPLEMENTED,A0A176ZEQ9,,,NO
"2,4-D / chlorophenoxy herbicides",Bordetella genomosp. 2,Gene Only,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,CAL24_18260,,WP_028352465.1,,,SUPPLEMENTED,A0A261VI05,,,NO
"2,4-D / chlorophenoxy herbicides",Bradyrhizobium valentinum,Gene Only,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,CP49_27530,,WP_057854527.1,,,SUPPLEMENTED,A0A0R3KD95,,,NO
"2,4-D / chlorophenoxy herbicides",Bradyrhizobium jicamae,Gene Only,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,CQ12_33835,,WP_057837409.1,,,SUPPLEMENTED,A0A0R3LG18,,,NO
"2,4-D / chlorophenoxy herbicides",Bradyrhizobium retamae,Gene Only,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,CQ13_00155,,WP_057841016.1,,,SUPPLEMENTED,A0A0R3NDB4,,,NO
"2,4-D / chlorophenoxy herbicides",Caulobacter radicis,Gene Only,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,DDF65_08150,,WP_116566276.1,,,SUPPLEMENTED,A0A2T9JM84,,,NO
"2,4-D / chlorophenoxy herbicides",Bradyrhizobium icense,Gene Only,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,LMTR13_03675,,WP_065726719.1,,,SUPPLEMENTED,A0A1B1U9J1,,,NO
"2,4-D / chlorophenoxy herbicides",Pandoraea bronchicola,Gene Only,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,PBR20603_02806,,WP_150560111.1,,,SUPPLEMENTED,A0A5E5BWY6,,,NO
"2,4-D / chlorophenoxy herbicides",Pandoraea horticolens,Gene Only,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,PHO31112_04496,,WP_150623175.1,,,SUPPLEMENTED,A0A5E4YGY1,,,NO
"2,4-D / chlorophenoxy herbicides",Pandoraea pulmonicola,Gene Only,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,RO07_01115,,,,,SUPPLEMENTED,A0ABN4U8Z2,,,NO
"2,4-D / chlorophenoxy herbicides",Burkholderia territorii,Gene Only,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,WT27_27860,,WP_060103823.1,,,SUPPLEMENTED,A0A119AX41,,,NO
Atrazine,Ferrimicrobium acidiphilum DSM 19497,Gene Only,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_162484327.1,,,SUPPLEMENTED,A0A0D8FQP6,,,NO
Atrazine,Microbacterium azadirachtae,Gene Only,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_045252025.1,,,SUPPLEMENTED,A0A0F0KDC7,,,NO
Atrazine,Microbacterium azadirachtae,Gene Only,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_045273105.1,,,SUPPLEMENTED,A0A0F0LEY0,,,NO
Atrazine,Microbacterium hydrocarbonoxydans,Gene Only,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,,,,SUPPLEMENTED,A0A0M2HUD4,,,NO
Atrazine,Pseudonocardia autotrophica (Amycolata autotrophica) (Nocardia autotrophica),Gene Only,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_232021047.1,,,SUPPLEMENTED,A0A1Y2MIT3,,,NO
Atrazine,Roseisalinus antarcticus,Gene Only,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_085879395.1,,,SUPPLEMENTED,A0A1Y5T5T5,,,NO
Atrazine,Neomoorella humiferrea,Gene Only,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,,,,SUPPLEMENTED,A0A2T0ANZ0,,,NO
Atrazine,Gordonia insulae,Gene Only,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_124709759.1,,,SUPPLEMENTED,A0A3G8JTA7,,,NO
Atrazine,Pigmentiphaga humi,Gene Only,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_124079529.1,,,SUPPLEMENTED,A0A3P4B135,,,NO
Atrazine,Engelhardtia mirabilis,Gene Only,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_145067630.1,,,SUPPLEMENTED,A0A518BNK4,,,NO
Atrazine,Candidatus Nitrosocosmicus oleophilus,Gene Only,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_196816896.1,,,SUPPLEMENTED,A0A654M531,,,NO
Atrazine,Nocardia macrotermitis,Gene Only,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_153410948.1,,,SUPPLEMENTED,A0A7K0D377,,,NO
Atrazine,Neomoorella thermoacetica (Clostridium thermoaceticum),Gene Only,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_069587993.1,,,SUPPLEMENTED,A0AAC9HFP3,,,NO
Atrazine,Sporomusa sphaeroides DSM 2875,Gene Only,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_075756972.1,,,SUPPLEMENTED,A0ABP2C7H1,,,NO
Atrazine,Streptomyces rimosus subsp. rimosus,Gene Only,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_003981583.1,,,SUPPLEMENTED,A0ABY3ZB80,,,NO
Atrazine,Pandoraea pnomenusa,Gene Only,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_141570536.1,,,SUPPLEMENTED,A0ABY6WTW7,,,NO
Atrazine,Cupriavidus neocaledonicus,Gene Only,Hydrolase,HYDROXY-ATRAZINE ETHYL AMINO HYDROLASE PROTEIN (EC 3.5.4.43),,atzB,,WP_018005214.1,,,SUPPLEMENTED,A0A375HAF0,,,NO
Atrazine,Herbaspirillum seropedicae (strain SmR1),Gene Only,Hydrolase,Hydroxy-atrazine ethyl amino hydrolase protein (EC 3.5.99.3),,atzB,,WP_013235205.1,,,SUPPLEMENTED,D8J1V8,,,NO
Atrazine,Nocardia wallacei,Gene Only,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_187684643.1,,,SUPPLEMENTED,A0A7G1KUB6,,,NO
Atrazine,Rhizobium sophorae,Gene Only,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_171376429.1,,,SUPPLEMENTED,A0A7Y3WE38,,,NO
Atrazine,Rhizobium redzepovicii,Gene Only,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_131711222.1,,,SUPPLEMENTED,A0AAW8P500,,,NO
Atrazine,Rhizobium changzhiense,Gene Only,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_003538537.1,,,SUPPLEMENTED,A0ABR6AE06,,,NO
Atrazine,Rhizobium brockwellii,Gene Only,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_317276602.1,,,SUPPLEMENTED,A0ABU3YPR8,,,NO
Atrazine,Rhizobium aouanii,Gene Only,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_335910829.1,,,SUPPLEMENTED,A0ABU8CEV7,,,NO
Atrazine,Rhizobium indicum,Gene Only,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_138390103.1,,,SUPPLEMENTED,A0ABX6PST4,,,NO
Atrazine,Rhizobium indigoferae,Gene Only,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_193445929.1,,,SUPPLEMENTED,A0ABZ1DQ12,,,NO
Atrazine,[Clostridium] asparagiforme DSM 15981,Gene Only,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_007709969.1,,,SUPPLEMENTED,C0CYS8,,,NO
Atrazine,Rhizobium favelukesii,Gene Only,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_024315609.1,,,SUPPLEMENTED,W6RQZ5,,,NO
Carbofuran,Nilaparvata lugens (Brown planthopper),Gene Only,Hydrolase,Carboxylic ester hydrolase (EC 3.1.1.-),,ace1,,,,,SUPPLEMENTED,H9BIC5,,,NO
Carbofuran,Achromobacter sp. WM111,Gene Only,Hydrolase,Carbofuran hydrolase,,mcd,,,,,SUPPLEMENTED,Q9KJV0,,UniProt record identifies mcd carbofuran hydrolase from Achromobacter sp. WM111; add primary citation before import.,NO
Dicamba,Bassia scoparia (Summer cypress) (Kochia scoparia),Gene Only,Oxidoreductase,"Choline monooxygenase, chloroplastic (EC 1.14.15.7)",,,,,,,SUPPLEMENTED,Q6TN16,,,NO
Dicamba,Paraburkholderia fynbosensis,Gene Only,,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-)",,ddmC,,WP_175159324.1,,,SUPPLEMENTED,A0A6J5FW94,,,NO
Dicamba,Pararobbsia alpina,Gene Only,,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-)",,ddmC,,WP_175107302.1,,,SUPPLEMENTED,A0A6S7BGC5,,,NO
Dicamba,Paraburkholderia aspalathi,Gene Only,,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-)",,ddmC,,,,,SUPPLEMENTED,A0ABM8QSU0,,,NO
Dicamba,Paraburkholderia haematera,Gene Only,,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-)",,ddmC,,WP_211610922.1,,,SUPPLEMENTED,A0ABM8R457,,,NO
Dicamba,Paraburkholderia sediminicola,Gene Only,,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-)",,ddmC_1,,,,,SUPPLEMENTED,A0A6J5AS15,,,NO
Dicamba,Paraburkholderia gardini,Gene Only,,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-)",,ddmC_1,,WP_228978022.1,,,SUPPLEMENTED,A0ABM8U2Z2,,,NO
Dicamba,Paraburkholderia sediminicola,Gene Only,,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-)",,ddmC_2,,WP_175055012.1,,,SUPPLEMENTED,A0A6J5CUH5,,,NO
Dicamba,Paraburkholderia gardini,Gene Only,,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-)",,ddmC_2,,,,,SUPPLEMENTED,A0ABN7QRS1,,,NO
Dicamba,Paraburkholderia sediminicola,Gene Only,,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-)",,ddmC_3,,,,,SUPPLEMENTED,A0A6J5CWL6,,,NO
Dicamba,Paraburkholderia gardini,Gene Only,,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-)",,ddmC_3,,WP_228981494.1,,,SUPPLEMENTED,A0ABM8U7V5,,,NO
Glyphosate,Achromobacter aegrifaciens,Gene Only,Lyase,Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase (PRPn C-P lyase) (EC 4.7.1.1),,RIU57_30195,,WP_054451481.1,,,SUPPLEMENTED,A0AAD2IWK4,,,NO
Glyphosate,Ochrobactrum sp. G-1,Gene Only,,Gox,,gox,,,,,SUPPLEMENTED,D2KI28,,,NO
Parathion / organophosphates,Caballeronia cordobensis (Burkholderia cordobensis),Gene Only,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_235024163.1,,,SUPPLEMENTED,A0A158G590,,,NO
Parathion / organophosphates,Clavibacter michiganensis subsp. michiganensis,Gene Only,Hydrolase,Parathion hydrolase,,opd,,,,,SUPPLEMENTED,A0A251XP16,,,NO
Parathion / organophosphates,Mycolicibacterium tokaiense,Gene Only,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,,,,SUPPLEMENTED,A0A378THF5,,,NO
Parathion / organophosphates,Mycobacterium basiliense,Gene Only,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_158015061.1,,,SUPPLEMENTED,A0A3S4BBP7,,,NO
Parathion / organophosphates,Symmachiella dynata,Gene Only,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_145378425.1,,,SUPPLEMENTED,A0A517ZTT4,,,NO
Parathion / organophosphates,Polystyrenella longa,Gene Only,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_144997505.1,,,SUPPLEMENTED,A0A518CRH9,,,NO
Parathion / organophosphates,Symmachiella macrocystis,Gene Only,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_146372072.1,,,SUPPLEMENTED,A0A5C6BS74,,,NO
Parathion / organophosphates,Corynebacterium occultum,Gene Only,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_156230508.1,,,SUPPLEMENTED,A0A6B8VS40,,,NO
Parathion / organophosphates,Nocardia aurantia,Gene Only,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_319942682.1,,,SUPPLEMENTED,A0A7K0DJ92,,,NO
Parathion / organophosphates,Mycobacterium avium subsp. avium,Gene Only,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,,,,SUPPLEMENTED,A0ACG7XLW8,,,NO
Pyrethroids,Caballeronia choica,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,estP,,,,,SUPPLEMENTED,A0A158KWC7,,,NO
Pyrethroids,Pseudoalteromonas haloplanktis (Alteromonas haloplanktis),Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,estP,,,,,SUPPLEMENTED,A0A9W4VU26,,,NO
Pyrethroids,Amantichitinum ursilacus,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,WP_053937263.1,,,SUPPLEMENTED,A0A0N0GPS7,,,NO
Pyrethroids,Legionella santicrucis,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,WP_058514398.1,,,SUPPLEMENTED,A0A0W0YSL7,,,NO
Pyrethroids,Tritonibacter horizontis,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,WP_068248183.1,,,SUPPLEMENTED,A0A132BSU0,,,NO
Pyrethroids,Pseudooceanicola marinus,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,WP_085889355.1,,,SUPPLEMENTED,A0A1X7A0A5,,,NO
Pyrethroids,Yoonia vestfoldensis,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,WP_087208406.1,,,SUPPLEMENTED,A0A1Y0ED54,,,NO
Pyrethroids,Antarctobacter heliothermus,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,WP_094033415.1,,,SUPPLEMENTED,A0A222DYS1,,,NO
Pyrethroids,Actibacterium lipolyticum,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,WP_093965771.1,,,SUPPLEMENTED,A0A238JN30,,,NO
Pyrethroids,Falsiruegeria mediterranea M17,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,WP_108788254.1,,,SUPPLEMENTED,A0A2R8C9N9,,,NO
Pyrethroids,Kushneria phyllosphaerae,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,WP_108841107.1,,,SUPPLEMENTED,A0A2R8CH29,,,NO
Pyrethroids,Acinetobacter stercoris,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,WP_121975507.1,,,SUPPLEMENTED,A0A2U3N342,,,NO
Pyrethroids,Granulosicoccus antarcticus IMCC3135,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,WP_088918973.1,,,SUPPLEMENTED,A0A2Z2NR79,,,NO
Pyrethroids,Streptomyces hundungensis,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,WP_120719858.1,,,SUPPLEMENTED,A0A387HCE1,,,NO
Pyrethroids,Gordonia insulae,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,WP_197718188.1,,,SUPPLEMENTED,A0A3G8JHC1,,,NO
Pyrethroids,Methylobacterium symbioticum,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,,,,SUPPLEMENTED,A0A509EDX6,,,NO
Pyrethroids,Pandoraea terrigena,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,WP_150611456.1,,,SUPPLEMENTED,A0A5E4SG75,,,NO
Pyrethroids,Pandoraea anhela,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,WP_150669356.1,,,SUPPLEMENTED,A0A5E4VN02,,,NO
Pyrethroids,Candidatus Nitrosocosmicus oleophilus,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,WP_196818217.1,,,SUPPLEMENTED,A0A654LZY4,,,NO
Pyrethroids,Occultella aeris,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,WP_156743571.1,,,SUPPLEMENTED,A0A7M4DS74,,,NO
Pyrethroids,Zestomonas carbonaria,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,,,,SUPPLEMENTED,A0A7U7I9W8,,,NO
Pyrethroids,Cupriavidus pinatubonensis,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,WP_224000379.1,,,SUPPLEMENTED,A0ABN7Y0N6,,,NO
Pyrethroids,Comamonas brasiliensis,Gene Only,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,pytH,,WP_211455496.1,,,SUPPLEMENTED,A0ABS5LLH5,,,NO
Pyrethroids,Sphingobium faniae,Gene Only,Hydrolase,Pyrethroid hydrolase,,pytH,,,,,SUPPLEMENTED,D0VUS3,,,NO
