pesticide,microorganism,evidence_type,evidence_type_original,evidence_type_mapping_note,enzyme_class,reported_protein_name,pesticidedb_protein_id,gene_name,ncbi_accession,ncbi_protein_accession,year,doi,collection_category,uniprot_accession,pubmed_id,source_title,curation_notes,already_in_current_master_exact_accession,curation_status
Atrazine,Arthrobacter sp. SD41,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,N-isopropylammelide isopropylamino hydrolase,,atzC,,,2016,10.1186/s12866-016-0868-3,SUPPLEMENTED,A0A0F7GH45,27821056,"Occurrence, diversity and community structure of culturable atrazine degraders in industrial and agricultural soils exposed to the herbicide in Shandong Province, P.R. China.",Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Pseudomonas sp. D3-1l,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,N-isopropylammelide isopropylamino hydrolase,,atzC,,,2016,10.1186/s12866-016-0868-3,SUPPLEMENTED,A0A0F7ID94,27821056,"Occurrence, diversity and community structure of culturable atrazine degraders in industrial and agricultural soils exposed to the herbicide in Shandong Province, P.R. China.",Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Nocardioides sp. CMU5,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,,AtzC,,atzC,,,2007,10.1007/s00253-007-0871-6,SUPPLEMENTED,A0T2X3,17318536,Isolation and characterization of novel atrazine-degrading microorganisms from an agricultural soil.,Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Comamonas sp. A2,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,N-isopropylammelide isopropylamino hydrolase,,atzC,,,2010,10.1007/s10532-009-9284-9,SUPPLEMENTED,C7EY80,19603273,Atrazine degradation by a simple consortium of Klebsiella sp. A1 and Comamonas sp. A2 in nitrogen enriched medium.,Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Pseudomonas sp. strain ADP,Purified (Activity),Purified enzyme / pathway characterization,Direct mapping from supplemental label: Purified enzyme / pathway characterization,Hydrolase,N-isopropylammelide isopropylaminohydrolase,,atzC,,WP_011117177.1,1998,10.1128/JB.180.1.152-158.1998,SUPPLEMENTED,O52063,9422605,AtzC is a new member of the amidohydrolase protein superfamily and is homologous to other atrazine-metabolizing enzymes.,Experimentally characterized atrazine pathway enzyme; purified substrate-range work PMID 12218024.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Pseudomonas sp. (strain ADP),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,N-isopropylammelide isopropyl amidohydrolase (EC 3.5.4.42),,atzC,,WP_011117177.1,1998,10.1128/JB.180.1.152-158.1998,SUPPLEMENTED,O52063,9422605; 12218024; 26390431,AtzC is a new member of the amidohydrolase protein superfamily and is homologous to other atrazine-metabolizing enzymes.,Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Paenarthrobacter nicotinovorans (Arthrobacter nicotinovorans),Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,,Atrazine degradation enzyme,,atzC,,,2005,10.1016/j.femsec.2004.11.012,SUPPLEMENTED,Q6DQK8,16329913,"Characterization of Arthrobacter nicotinovorans HIM, an atrazine-degrading bacterium, from agricultural soil New Zealand.",Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Nocardioides sp. SP12,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,N-isopropylammelide isopropylamino hydrolase,,atzC,,,2003,10.1016/S0378-1097(03)00168-X,SUPPLEMENTED,Q83ZG3,12694918; 12639042,"Isolation and characterisation of Nocardioides sp. SP12, an atrazine-degrading bacterial strain possessing the gene trzN from bulk- and maize rhizosphere soil.",Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Crystallibacter crystallopoietes,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,AtzC,,atzC,,,2001,10.1111/j.1574-6941.2001.tb00842.x,SUPPLEMENTED,Q93NM6,11451526,Isolation and characterisation of new Gram-negative and Gram-positive atrazine degrading bacteria from different French soils.,Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Aminobacter aminovorans (Chelatobacter heintzii),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,AtzC,,atzC,,,2001,10.1111/j.1574-6941.2001.tb00842.x,SUPPLEMENTED,Q93NM9,11451526,Isolation and characterisation of new Gram-negative and Gram-positive atrazine degrading bacteria from different French soils.,Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Pseudomonas aeruginosa,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,N-isopropylammelide isopropylamino hydrolase (N-isopropylammelide isopropylaminohydrolase),,atzC,,,2014,10.1007/s11356-014-3316-7,SUPPLEMENTED,U3ML05,25035056,Isolation and characterization of a Pseudomonas aeruginosa from a virgin Brazilian Amazon region with potential to degrade atrazine.,Imported from UniProt query 'gene:atzC AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Pseudomonas aeruginosa,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Cyanuric acid amidohydrolase,,atzD,,,2014,10.1007/s11356-014-3316-7,SUPPLEMENTED,A0A075T1W5,25035056,Isolation and characterization of a Pseudomonas aeruginosa from a virgin Brazilian Amazon region with potential to degrade atrazine.,Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Nocardia jinanensis,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_058855167.1,2014,10.1016/j.jbiotec.2014.08.038,SUPPLEMENTED,A0A917RU15,25193709,"Complete genome sequence of Corynebacterium casei LMG S-19264T (=DSM 44701T), isolated from a smear-ripened cheese.",Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Bradyrhizobium cosmicum,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_015688364.1,2012,10.1264/jsme2.me11321,SUPPLEMENTED,A0AAI8MI97,22452844,Complete genome sequence of Bradyrhizobium sp. S23321: insights into symbiosis evolution in soil oligotrophs.,Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Bradyrhizobium iriomotense,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_284273864.1,2019,10.1099/ijsem.0.003276,SUPPLEMENTED,A0ABQ6B8S0,30832757,The Global Catalogue of Microorganisms (GCM) 10K type strain sequencing project: providing services to taxonomists for standard genome sequencing and annotation.,Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Comamonas sp. A2,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Cyanuric acid amidohydrolase,,atzD,,,2010,10.1007/s10532-009-9284-9,SUPPLEMENTED,C7EY81,19603273,Atrazine degradation by a simple consortium of Klebsiella sp. A1 and Comamonas sp. A2 in nitrogen enriched medium.,Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Pseudomonas sp. (strain ADP),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_011117191.1,2001,10.1128/JB.183.19.5684-5697.2001,SUPPLEMENTED,P58329,11544232; 21959051; 26868408; 12788776; 22730121; 23651355,Complete nucleotide sequence and organization of the atrazine catabolic plasmid pADP-1 from Pseudomonas sp. strain ADP.,Imported from UniProt query 'gene:atzD AND atrazine'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Pseudomonas aeruginosa,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Biuret amidohydrolase,,atzE,,,2014,10.1007/s11356-014-3316-7,SUPPLEMENTED,A0A075T5U3,25035056,Isolation and characterization of a Pseudomonas aeruginosa from a virgin Brazilian Amazon region with potential to degrade atrazine.,Imported from UniProt query 'gene:atzE AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Pseudomonas sp. (strain ADP),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,1-carboxybiuret hydrolase subunit AtzE (EC 3.5.1.131),,atzE,,WP_011117192.1,2001,10.1128/JB.183.19.5684-5697.2001,SUPPLEMENTED,Q936X3,11544232; 29523689,Complete nucleotide sequence and organization of the atrazine catabolic plasmid pADP-1 from Pseudomonas sp. strain ADP.,Imported from UniProt query 'gene:atzE AND atrazine'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Pseudomonas aeruginosa,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Allophanate hydrolase,,atzF,,,2014,10.1007/s11356-014-3316-7,SUPPLEMENTED,A0A075T4Y4,25035056,Isolation and characterization of a Pseudomonas aeruginosa from a virgin Brazilian Amazon region with potential to degrade atrazine.,Imported from UniProt query 'gene:atzF AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Pseudomonas sp. (strain ADP),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Allophanate hydrolase (EC 3.5.1.54),,atzF,,WP_011117193.1,2001,10.1128/JB.183.19.5684-5697.2001,SUPPLEMENTED,Q936X2,11544232; 15901697,Complete nucleotide sequence and organization of the atrazine catabolic plasmid pADP-1 from Pseudomonas sp. strain ADP.,Imported from UniProt query 'gene:atzF AND atrazine'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Nocardioides sp. SP12,Gene Only + whole-cell/ Crude,Gene detection / degradation strain characterization,Direct mapping from supplemental label: Gene detection / degradation strain characterization,Hydrolase,Atrazine hydrolase,,trzN,,,2003,10.1016/S0378-1097(03)00168-X,SUPPLEMENTED,Q83ZG4,12694918,"Isolation and characterisation of Nocardioides sp. SP12, an atrazine-degrading bacterial strain possessing the gene trzN from bulk- and maize rhizosphere soil.",Experimentally isolated atrazine-degrading strain possessing trzN; manually verify sequence accession before import.,NO,READY_FOR_MANUAL_REVIEW
Atrazine / simazine,Arthrobacter sp. SD41,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Triazine hydrolase,,trzN,,,2016,10.1186/s12866-016-0868-3,SUPPLEMENTED,A0A0F7GFR9,27821056,"Occurrence, diversity and community structure of culturable atrazine degraders in industrial and agricultural soils exposed to the herbicide in Shandong Province, P.R. China.",Imported from UniProt query 'gene:trzN AND (atrazine OR simazine)'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine / simazine,Nocardioides sp. CMU5,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,,TrzN,,trzN,,,2007,10.1007/s00253-007-0871-6,SUPPLEMENTED,A0T2X1,17318536,Isolation and characterization of novel atrazine-degrading microorganisms from an agricultural soil.,Imported from UniProt query 'gene:trzN AND (atrazine OR simazine)'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Carbaryl,Lithobates clamitans (Green frog) (Rana clamitans),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,,ATP2A1,,,2013,10.1016/j.aquatox.2012.12.022,SUPPLEMENTED,M1R1X1,23399446,Specific time of exposure during tadpole development influences biological effects of the insecticide carbaryl in green frogs (Lithobates clamitans).,Imported from UniProt query 'carbaryl hydrolase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Carbaryl,Arthrobacter sp. RC100,Gene Only,Gene cloning / sequence characterization,Direct mapping from supplemental label: Gene cloning / sequence characterization,Hydrolase,Carbaryl hydrolase,,cahA,,,2006,10.1263/jbb.101.410,SUPPLEMENTED,Q8GRB9,16781470,Cloning and nucleotide sequence of carbaryl hydrolase gene (cahA) from Arthrobacter sp. RC100.,Experimentally cloned carbaryl hydrolase gene; no RefSeq cross-reference in UniProt.,NO,READY_FOR_MANUAL_REVIEW
Carbaryl,Rhizobium sp. AC100,Gene Only + whole-cell/ Crude,Gene sequence / degradation enzyme characterization,Direct mapping from supplemental label: Gene sequence / degradation enzyme characterization,Hydrolase,Carbaryl hydrolase,,cehA,,,2002,10.1128/AEM.68.3.1220-1227.2002,SUPPLEMENTED,Q8RR61,11872471,Nucleotide sequence and genetic structure of a novel carbaryl hydrolase gene (cehA) from Rhizobium sp. strain AC100.,Experimentally supported carbaryl hydrolase gene from degrader strain.,NO,READY_FOR_MANUAL_REVIEW
Carbaryl,Rhizobium sp. AC100,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,Transposase,,istA,,,2002,10.1128/AEM.68.3.1220-1227.2002,SUPPLEMENTED,Q8RJ82,11872471,Nucleotide sequence and genetic structure of a novel carbaryl hydrolase gene (cehA) from Rhizobium sp. strain AC100.,Imported from UniProt query 'carbaryl hydrolase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Carbaryl,Arthrobacter sp. RC100,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,Transposase helper protein,,istB,,,2006,10.1263/jbb.101.410,SUPPLEMENTED,Q8GRC0,16781470,Cloning and nucleotide sequence of carbaryl hydrolase gene (cahA) from Arthrobacter sp. RC100.,Imported from UniProt query 'carbaryl hydrolase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Carbaryl,Rhizobium sp. AC100,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,Helper protein,,istB,,,2002,10.1128/AEM.68.3.1220-1227.2002,SUPPLEMENTED,Q8RJH5,11872471,Nucleotide sequence and genetic structure of a novel carbaryl hydrolase gene (cehA) from Rhizobium sp. strain AC100.,Imported from UniProt query 'carbaryl hydrolase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Carbaryl,Rhizobium sp. AC100,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,OrfX protein,,orfX,,,2002,10.1128/AEM.68.3.1220-1227.2002,SUPPLEMENTED,Q8RR60,11872471,Nucleotide sequence and genetic structure of a novel carbaryl hydrolase gene (cehA) from Rhizobium sp. strain AC100.,Imported from UniProt query 'carbaryl hydrolase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Chlorpyrifos / methyl parathion,Stutzerimonas stutzeri,Recombinant (Activity),Enzyme engineering / activity assay,Direct mapping from supplemental label: Enzyme engineering / activity assay,Hydrolase,Methyl parathion hydrolase,,mpd,,,2014,10.1111/lam.12155,SUPPLEMENTED,H9ZVH5,24010722,Improving methyl parathion hydrolase to enhance its chlorpyrifos-hydrolysing efficiency.,Experimentally assayed engineered/improved chlorpyrifos hydrolysis; include with note if you allow enzyme variants.,NO,READY_FOR_MANUAL_REVIEW
Chlorpyrifos / methyl parathion,Stenotrophomonas sp. YC-1,Gene Only + whole-cell/ Crude,Gene cloning / bioremediation study,Direct mapping from supplemental label: Gene cloning / bioremediation study,Hydrolase,Methyl parathion hydrolase,,mpd,,,2006,10.1111/j.1574-6968.2006.00478.x,SUPPLEMENTED,Q0PWQ4,17107423,Cloning of mpd gene from a chlorpyrifos-degrading bacterium and use of this strain in bioremediation of contaminated soil.,Experimentally linked mpd to chlorpyrifos-degrading bacterium; useful organophosphate supplement.,NO,READY_FOR_MANUAL_REVIEW
Dicamba,Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia),Recombinant (Activity),Publication-linked enzyme record; manual verification required,Publication title indicates cloned/recombinant protein analysis.,Oxidoreductase,"Dicamba O-demethylase, oxygenase component (EC 1.14.15.-) (Dicamba monooxygenase) (DMO) (Three-component Rieske non-heme iron oxygenase system)",,ddmC,,,2005,10.1074/jbc.M500597200,SUPPLEMENTED,Q5S3I3,15855162; 15820213; 16535584; 19616009; 19616011,"A three-component dicamba O-demethylase from Pseudomonas maltophilia, strain DI-6: gene isolation, characterization, and heterologous expression.",Imported from UniProt query 'dicamba monooxygenase'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Glyphosate,Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Lyase,Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase (PRPn C-P lyase) (EC 4.7.1.1),,phnJ,,WP_003530631.1,2001,10.1073/pnas.161294698,SUPPLEMENTED,Q52987,11481431; 11474104,"The complete sequence of the 1,683-kb pSymB megaplasmid from the N2-fixing endosymbiont Sinorhizobium meliloti.",Imported from UniProt query 'glyphosate C-P lyase phnJ'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Glyphosate,Bacillus licheniformis,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Oxidoreductase,Glycine oxidase (GO) (EC 1.4.3.19) (BliGO),,thiO,,WP_003180677.1,2016,10.1016/j.enzmictec.2015.12.012,SUPPLEMENTED,S5FMM4,26920475,"Characterization and directed evolution of BliGO, a novel glycine oxidase from Bacillus licheniformis.",Imported from UniProt query 'glyphosate oxidoreductase gox'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Methyl parathion,Xanthomonas citri pv. citri (strain 306),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Methyl parathion hydrolase,,mpd,,,2002,10.1038/417459a,SUPPLEMENTED,A0AAI7ZDC3,12024217,Comparison of the genomes of two Xanthomonas pathogens with differing host specificities.,Imported from UniProt query 'gene:mpd AND methyl parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Methyl parathion,Stutzerimonas stutzeri (Pseudomonas stutzeri),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Methyl parathion hydrolase (EC 3.1.8.1),,mpd,,,2014,10.1111/lam.12155,SUPPLEMENTED,H9ZVH5,24010722,Improving methyl parathion hydrolase to enhance its chlorpyrifos-hydrolysing efficiency.,Imported from UniProt query 'gene:mpd AND methyl parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Methyl parathion,Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / CCUG 213 / NBRC 12614 / NCIMB 9131 / NCTC 9757 / MK),Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Methyl parathion hydrolase (EC 3.5.-.-),,mpd,,WP_011133826.1,2003,10.1073/pnas.1832124100,SUPPLEMENTED,Q7P1E2,14500782,The complete genome sequence of Chromobacterium violaceum reveals remarkable and exploitable bacterial adaptability.,Imported from UniProt query 'gene:mpd AND methyl parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Methyl parathion,Pseudomonas sp. (strain WBC-3),Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Methyl parathion hydrolase,,mpd,,,2005,10.1016/j.bbrc.2005.07.006,SUPPLEMENTED,Q841S6,16039612; 16181636; 19222584,Plasmid-borne catabolism of methyl parathion and p-nitrophenol in Pseudomonas sp. strain WBC-3.,Imported from UniProt query 'gene:mpd AND methyl parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Methyl parathion,Plesiomonas sp. M6,Gene Only + whole-cell/ Crude,Gene cloning / degradation strain characterization,Direct mapping from supplemental label: Gene cloning / degradation strain characterization,Hydrolase,Methyl parathion hydrolase,,mpd,,,2001,10.1128/AEM.67.10.4922-4925.2001,SUPPLEMENTED,Q9ALW1,11571204,Isolation of methyl parathion-degrading strain M6 and cloning of the methyl parathion hydrolase gene.,Experimentally isolated methyl-parathion degrader and cloned hydrolase gene.,NO,READY_FOR_MANUAL_REVIEW
Methyl parathion,Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Methyl parathion hydrolase,,mpd,,WP_051780810.1,2015,10.1128/genomeA.00277-15,SUPPLEMENTED,W0V3V0,25883287,Genome Sequence of Mushroom Soft-Rot Pathogen Janthinobacterium agaricidamnosum.,Imported from UniProt query 'gene:mpd AND methyl parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Methyl parathion,Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Methyl parathion hydrolase,,mpd,,WP_038492674.1,2015,10.1128/genomeA.00277-15,SUPPLEMENTED,W0V7Q8,25883287,Genome Sequence of Mushroom Soft-Rot Pathogen Janthinobacterium agaricidamnosum.,Imported from UniProt query 'gene:mpd AND methyl parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Methyl parathion,Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Methyl parathion hydrolase,,mpd,,WP_038497753.1,2015,10.1128/genomeA.00277-15,SUPPLEMENTED,W0VDH8,25883287,Genome Sequence of Mushroom Soft-Rot Pathogen Janthinobacterium agaricidamnosum.,Imported from UniProt query 'gene:mpd AND methyl parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Methyl parathion / p-nitrophenol,Pseudomonas sp. strain WBC-3,Recombinant (Activity),Catabolic pathway / structural characterization,Direct mapping from supplemental label: Catabolic pathway / structural characterization,Hydrolase,Methyl parathion hydrolase,,mpd,,,2005,10.1016/j.bbrc.2005.07.006,SUPPLEMENTED,Q841S6,16039612,Plasmid-borne catabolism of methyl parathion and p-nitrophenol in Pseudomonas sp. strain WBC-3.,Experimentally studied methyl parathion catabolism; protein structure also reported PMID 16181636.,NO,READY_FOR_MANUAL_REVIEW
Organophosphates,Pseudaminobacter sp. mp-1,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,Transposase,,,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693X4,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,Imported from UniProt query 'organophosphorus hydrolase pesticide'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
