pesticide,microorganism,evidence_type,evidence_type_original,evidence_type_mapping_note,enzyme_class,reported_protein_name,pesticidedb_protein_id,gene_name,ncbi_accession,ncbi_protein_accession,year,doi,collection_category,uniprot_accession,pubmed_id,source_title,curation_notes,already_in_current_master_exact_accession,curation_status
"2,4-D / chlorophenoxy herbicides",Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110),Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Oxidoreductase,"Alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase (EC 1.14.11.-)",,tfdA,,WP_011084309.1,2002,10.1093/dnares/9.6.189,SUPPLEMENTED,Q89UC4,12597275; 31209034,Complete genomic sequence of nitrogen-fixing symbiotic bacterium Bradyrhizobium japonicum USDA110.,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,READY_FOR_MANUAL_REVIEW
"2,4-D / chlorophenoxy herbicides",Burkholderia cepacia (Pseudomonas cepacia),Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Oxidoreductase,"Chlorocatechol 1,2-dioxygenase (EC 1.13.11.-)",,tfdC,,,1994,10.1128/aem.60.1.307-312.1994,SUPPLEMENTED,P0A397,7509586,"Identification and characterization of a new plasmid carrying genes for degradation of 2,4-dichlorophenoxyacetate from Pseudomonas cepacia CSV90.","Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO,READY_FOR_MANUAL_REVIEW
Atrazine,Pseudomonas sp. D3-1l,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Atrazine chlorohydrolase,,atzA,,,2016,10.1186/s12866-016-0868-3,SUPPLEMENTED,A0A0F7GGS7,27821056,"Occurrence, diversity and community structure of culturable atrazine degraders in industrial and agricultural soils exposed to the herbicide in Shandong Province, P.R. China.",Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Pseudomonas sp. D3-1l,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Atrazine chlorohydrolase,,atzA,,,2016,10.1186/s12866-016-0868-3,SUPPLEMENTED,A0A0F7ICL3,27821056,"Occurrence, diversity and community structure of culturable atrazine degraders in industrial and agricultural soils exposed to the herbicide in Shandong Province, P.R. China.",Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Terrisporobacter glycolicus ATCC 14880 = DSM 1288,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_018589874.1,2023,10.1371/journal.pone.0290128,SUPPLEMENTED,A0ABZ2EYK3,37816002,Genome-based metabolic and phylogenomic analysis of three Terrisporobacter species.,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Comamonas sp. A2,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase,,atzA,,,2010,10.1007/s10532-009-9284-9,SUPPLEMENTED,C7EY78,19603273,Atrazine degradation by a simple consortium of Klebsiella sp. A1 and Comamonas sp. A2 in nitrogen enriched medium.,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Pseudomonas sp. strain ADP,Purified (Activity),Purified enzyme / gene characterization,Direct mapping from supplemental label: Purified enzyme / gene characterization,Hydrolase,Atrazine chlorohydrolase,,atzA,,WP_011117157.1,1996,10.1128/jb.178.16.4894-4900.1996,SUPPLEMENTED,P72156,8759853,"Atrazine chlorohydrolase from Pseudomonas sp. strain ADP: gene sequence, enzyme purification, and protein characterization.",Experimentally purified/characterized atrazine dechlorination enzyme; also supported by gene cloning publication PMID 7574646.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Pseudomonas sp. (strain ADP),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Atrazine chlorohydrolase (EC 3.8.1.8),,atzA,,WP_011117157.1,1995,10.1128/aem.61.9.3373-3378.1995,SUPPLEMENTED,P72156,7574646; 8759853; 11274097; 12450410; 22768133; 25760618,"Cloning, characterization, and expression of a gene region from Pseudomonas sp. strain ADP involved in the dechlorination of atrazine.",Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,beta proteobacterium CDB21,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Atrazine chlorohydrolase,,atzA,,,2007,10.1002/ps.1334,SUPPLEMENTED,Q5W7L0,17304635,Isolation and characterization of a novel simazine-degrading beta-proteobacterium and detection of genes encoding s-triazine-degrading enzymes.,Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
Atrazine,Paenarthrobacter nicotinovorans (Arthrobacter nicotinovorans),Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,,Atrazine degradation enzyme,,atzA,,,2005,10.1016/j.femsec.2004.11.012,SUPPLEMENTED,Q6DQL0,16329913,"Characterization of Arthrobacter nicotinovorans HIM, an atrazine-degrading bacterium, from agricultural soil New Zealand.",Imported from UniProt query 'gene:atzA AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO,READY_FOR_MANUAL_REVIEW
